#SENTENCENUM	1
#SRCFILE	-
But	but	lc_Ul5	sf_UT	sf_BUT	sf_	NOTAG	MD	CC
would	would	lc_l5	sf_LD	sf_ULD	sf_OULD	RI_IN_CS_CC	PP3AS	MD
they	they	lc_l5	sf_EY	sf_HEY	sf_THEY	MD	DO	PP3AS
do	do	lc_l5	sf_DO	sf_	sf_	PP3AS	PP3	DO
it	it	lc_l5	sf_IT	sf_	sf_	DO	?	PP3
?	?	lc_noalpha	sf_	sf_	sf_	PP3	NOTAG	?

#SENTENCENUM	2
#SRCFILE	-
Bill	bill	lc_Ul5	sf_LL	sf_ILL	sf_BILL	NOTAG	HVN_HVD	NP
had	had	lc_l5	sf_AD	sf_HAD	sf_	VB_NP_NN	VBN_VBD_JJ	HVD
said	said	lc_l5	sf_ID	sf_AID	sf_SAID	HVN_HVD	PP3A_NN	VBN
he	he	lc_l5	sf_HE	sf_	sf_	VBN_VBD_JJ	MD	PP3A
would	would	lc_l5	sf_LD	sf_ULD	sf_OULD	PP3A_NN	BE	MD
be	be	lc_l5	sf_BE	sf_	sf_	MD	VB_RP_RB_NN_JJ	BE
back	back	lc_l5	sf_CK	sf_ACK	sf_BACK	BE	VB_NR_NN	RP
home	home	lc_l5	sf_ME	sf_OME	sf_HOME	VB_RP_RB_NN_JJ	XNOT	NR
not	not	lc_l5	sf_OT	sf_NOT	sf_	VB_NR_NN	RBR_JJR	XNOT
later	later	lc_l5	sf_ER	sf_TER	sf_ATER	XNOT	IN_CS	RBR
than	than	lc_l5	sf_AN	sf_HAN	sf_THAN	RBR_JJR	PN_CD1	IN
one	one	lc_l5	sf_NE	sf_ONE	sf_	IN_CS	RB	CD1
o'clock	o'clock	lc_l'l	sf_CK	sf_OCK	sf_LOCK	PN_CD1	.	RB
.	.	lc_noalpha	sf_	sf_	sf_	RB	NOTAG	.

#SENTENCENUM	3
#SRCFILE	-
The	the	lc_Ul5	sf_HE	sf_THE	sf_	NOTAG	VB_NN	ATI
judge	judge	lc_l5	sf_GE	sf_DGE	sf_UDGE	ATI	HVN_HVD	NN
had	had	lc_l5	sf_AD	sf_HAD	sf_	VB_NN	JJed_VBN_VBD	HVD
decided	decided	lc_l	sf_ED	sf_DED	sf_IDED	HVN_HVD	WP_QL_DT_CS	VBN
that	that	lc_l5	sf_AT	sf_HAT	sf_THAT	JJed_VBN_VBD	VB_NP_NN	CS
Bill	bill	lc_Ul5	sf_LL	sf_ILL	sf_BILL	WP_QL_DT_CS	CC	NP
and	and	lc_l5	sf_ND	sf_AND	sf_	VB_NP_NN	ATI	CC
the	the	lc_l5	sf_HE	sf_THE	sf_	CC	NN_JJ	ATI
young	young	lc_l5	sf_NG	sf_UNG	sf_OUNG	ATI	NNP_JNP	JJ
Indian	indian	lc_Ul	sf_AN	sf_IAN	sf_DIAN	NN_JJ	HVN_HVD	NNP
had	had	lc_l5	sf_AD	sf_HAD	sf_	NNP_JNP	JJed_VBN_VBD	HVD
accepted	accepted	lc_l	sf_ED	sf_TED	sf_PTED	HVN_HVD	ATI	VBN
the	the	lc_l5	sf_HE	sf_THE	sf_	JJed_VBN_VBD	JJ	ATI
inevitable	inevitable	lc_l	sf_LE	sf_BLE	sf_ABLE	ATI	CC	JJ
and	and	lc_l5	sf_ND	sf_AND	sf_	JJ	RB	CC
sensibly	sensibly	lc_l	sf_LY	sf_BLY	sf_IBLY	CC	JJed_VBN_VBD	RB
decided	decided	lc_l	sf_ED	sf_DED	sf_IDED	RB	TO	VBN
to	to	lc_l5	sf_TO	sf_	sf_	JJed_VBN_VBD	VB_NN	TO
wait	wait	lc_l5	sf_IT	sf_AIT	sf_WAIT	TO	RP_RB_IN_CS	VB
for	for	lc_l5	sf_OR	sf_FOR	sf_	VB_NN	ATI	IN
the	the	lc_l5	sf_HE	sf_THE	sf_	RP_RB_IN_CS	NN	ATI
gale	gale	lc_l5	sf_LE	sf_ALE	sf_GALE	ATI	TO	NN
to	to	lc_l5	sf_TO	sf_	sf_	NN	VB_NN	TO
blow	blow	lc_l5	sf_OW	sf_LOW	sf_BLOW	TO	PPL	VB
itself	itself	lc_l	sf_LF	sf_ELF	sf_SELF	VB_NN	RP_IN	PPL
out	out	lc_l5	sf_UT	sf_OUT	sf_	PPL	WRB	RP
when	when	lc_l5	sf_EN	sf_HEN	sf_WHEN	RP_IN	PP3A_NN	WRB
he	he	lc_l5	sf_HE	sf_	sf_	WRB	JJed_VBN_VBD	PP3A
caught	caught	lc_l	sf_HT	sf_GHT	sf_UGHT	PP3A_NN	CC	VBD
and	and	lc_l5	sf_ND	sf_AND	sf_	JJed_VBN_VBD	JJed_VBN_VBD	CC
held	held	lc_l5	sf_LD	sf_ELD	sf_HELD	CC	PP$$_PP$	VBD
his	his	lc_l5	sf_IS	sf_HIS	sf_	JJed_VBN_VBD	NN	PP$
breath	breath	lc_l	sf_TH	sf_ATH	sf_EATH	PP$$_PP$	,	NN
,	,	lc_noalpha	sf_	sf_	sf_	NN	RB_CS	,
then	then	lc_l5	sf_EN	sf_HEN	sf_THEN	,	VBD_NN_JJ	RB
rose	rose	lc_l5	sf_SE	sf_OSE	sf_ROSE	RB_CS	RB	VBD
hastily	hastily	lc_l	sf_LY	sf_ILY	sf_TILY	VBD_NN_JJ	.	RB
.	.	lc_noalpha	sf_	sf_	sf_	RB	NOTAG	.

#SENTENCENUM	4
#SRCFILE	-
Around	around	lc_Ul	sf_ND	sf_UND	sf_OUND	NOTAG	WP_QL_DT_CS	IN
that	that	lc_l5	sf_AT	sf_HAT	sf_THAT	RP_RI_RB_IN	JJed_VBN_VBD	DT
rounded	rounded	lc_l	sf_ED	sf_DED	sf_NDED	WP_QL_DT_CS	JJ	JJed
rocky	rocky	lc_l5	sf_KY	sf_CKY	sf_OCKY	JJed_VBN_VBD	NN	JJ
promontory	promontory	lc_l	sf_RY	sf_ORY	sf_TORY	JJ	WRB	NN
where	where	lc_l5	sf_RE	sf_ERE	sf_HERE	NN	ATI	WRB
the	the	lc_l5	sf_HE	sf_THE	sf_	WRB	NN_JJ	ATI
white	white	lc_l5	sf_TE	sf_ITE	sf_HITE	ATI	VB_NN	JJ
spray	spray	lc_l5	sf_AY	sf_RAY	sf_PRAY	NN_JJ	MD	NN
